setpoint,kp,ki,kd,mae,oscillations,overshoot_pct
4977.633608912259,0.01094666479535315,0.00816492668500502,0.0060864032940012745,1617.363515288501,4,0
5069.813251890793,0.010118050722739089,0.008152932676170902,0.004048357546274942,1206.0411928213434,2,0
4916.3370601648085,0.01016133915267627,0.008084454871431094,0.006493131820126578,1493.1187184322002,4,0
5093.163436893823,0.00844449813897453,0.00929498470444061,0.006207737158180421,1597.8702485020412,4,0
5128.81615416098,0.011737262393546565,0.008783334108690609,0.006181714238470712,1481.0294003213678,4,0
4888.9736315577065,0.009483064228445465,0.008440887315721814,0.002894473352123141,2365.411220270866,3,0
4882.989000760198,0.009303291320227652,0.009499727000942424,0.0031009650625534444,1245.9756430198115,4,0
5126.925060618624,0.008845680156710776,0.00980126666605928,0.003218826942871073,1289.1918612209442,4,0
5102.759533812873,0.009850443968755647,0.009399075272427485,0.006480709428492549,1786.834939177118,4,0
5126.294972412692,0.008441096814560733,0.009217860044599228,0.0032425835763614146,2336.7811425338623,3,0
5122.501799092712,0.010016785707277863,0.00820002228228559,0.0036150248395937228,1192.6027778954635,4,0
5018.044790297737,0.009537046078077009,0.008021617027696725,0.003641324190553933,1336.0061444575854,3,0
5068.670177463719,0.011766200370195162,0.009167013159335923,0.0031247851066926353,1700.2431521099036,3,0
4852.04640627356,0.011882100571982333,0.00832861950793487,0.005966864133318793,1494.54060478751,4,0
4874.8537175144265,0.01123162113238879,0.009727720189040357,0.002957183930398068,1632.7237451610501,3,0
4947.820857854796,0.009134356452557177,0.009003650093377495,0.0030996024785589263,1340.23588605739,4,0
5115.717372435951,0.008349950103398679,0.009272724679216526,0.0044071877094665896,1250.2259305663606,4,0
